latitude,longitude,elevation
51.08579,3.21331,13
51.08572,3.21337,13
51.08565,3.21335,13
51.0854,3.21309,13
51.08534,3.21307,13
51.08355,3.21524,14
51.08342,3.21533,14
51.08223,3.21542,15
51.08216,3.21547,15
51.08123,3.21645,13
51.07948,3.21852,15
51.07939,3.2185,15
51.0791,3.21763,15
51.0788,3.21703,15
51.07874,3.21698,15
51.07867,3.21698,15
51.07803,3.21749,16
51.07794,3.2175,16
51.07787,3.21743,16
51.0777,3.21686,16
51.07731,3.21612,16
51.0772,3.21599,16
51.07717,3.21587,16
51.07673,3.21472,17
51.07673,3.21458,16
51.07605,3.21294,16
51.07578,3.21223,18
51.07565,3.21175,18
51.07544,3.21081,21
51.07496,3.20968,28
51.07458,3.2085,25
51.07439,3.20808,25
51.0742,3.20778,23
51.07344,3.2071,20
51.07107,3.20552,15
51.06962,3.20456,18
51.06957,3.20442,17
51.06954,3.20364,16
51.06926,3.20377,17
51.0675,3.20408,16
51.06746,3.20412,16
51.06743,3.2042,16
51.06748,3.20527,18
51.06748,3.20551,19
51.06737,3.20553,19
51.06535,3.20497,19
51.06527,3.2049,19
51.06527,3.20476,19
51.06561,3.20195,15
51.06503,3.19745,16
51.06488,3.19683,17
51.06476,3.19646,17
51.06471,3.19637,17
51.06466,3.19632,17
51.06454,3.19632,17
51.06445,3.19637,17
51.06399,3.19681,16
51.06385,3.1951,17
51.06386,3.19481,18
51.06388,3.19456,18
51.06402,3.1937,18
51.06445,3.19297,17
51.06394,3.19182,16
51.06375,3.19125,17
51.06357,3.19058,17
51.0631,3.18768,19
51.06314,3.18732,19
51.06314,3.18732,19
51.06331,3.18744,19
51.06355,3.18754,19
51.06375,3.18758,19
51.06401,3.18755,19
51.06417,3.18611,18
51.06483,3.17934,17
51.06486,3.17918,17
51.06544,3.17795,17
51.06564,3.17747,17
51.06602,3.17647,17
51.06628,3.17522,16
51.06559,3.17438,16
51.06578,3.17419,16
51.06771,3.17073,14
51.06787,3.17049,14
51.06804,3.17032,14
51.06835,3.1702,14
51.06862,3.17009,14
51.06894,3.16986,14
51.06929,3.16953,14
51.06942,3.16937,15
51.06971,3.1689,15
51.07013,3.16811,15
51.07038,3.16754,16
51.07086,3.16621,16
51.07123,3.16494,16
51.07131,3.1645,16
51.07151,3.16291,15
51.07155,3.16267,15
51.07126,3.16242,15
51.07079,3.16194,13
51.06933,3.16035,13
51.06912,3.16007,13
51.06903,3.15993,13
51.06884,3.15944,13
51.06879,3.15925,13
51.06866,3.1586,13
51.06859,3.15813,13
51.06852,3.15703,13
51.06844,3.15636,13
51.06827,3.1553,14
51.06799,3.15393,15
51.0677,3.15278,14
51.06746,3.15203,14
51.0673,3.1516,14
51.06706,3.15105,14
51.06697,3.15077,14
51.06708,3.1507,14
51.06715,3.15069,14
51.06718,3.15078,14
51.06718,3.15094,14
51.06756,3.15179,14
51.0682,3.15163,13
51.06982,3.15119,17
51.07036,3.151,22
51.07046,3.151,22
51.07066,3.15068,22
51.07072,3.15055,22
51.07079,3.15032,22
51.07082,3.1501,22
51.07091,3.14984,22
51.07115,3.14941,24
51.07163,3.14875,24
51.07293,3.14672,26
51.07215,3.14201,25
51.07203,3.14135,25
51.07189,3.14047,26
51.07174,3.13951,27
51.0717,3.13927,27
51.07134,3.13712,23
51.07127,3.13658,23
51.07111,3.13558,20
51.07102,3.13516,19
51.07138,3.13473,19
51.07236,3.13391,23
51.07304,3.13334,26
51.07329,3.13321,26
51.07394,3.13318,25
51.07429,3.13325,23
51.07453,3.13338,21
51.07529,3.13472,22
51.07588,3.13575,22
51.07626,3.13694,22
51.07633,3.13708,22
51.07646,3.13728,22
51.07656,3.13738,22
51.07699,3.13765,22
51.07761,3.13795,22
